device_id, CreateTime, RecvTime, Data
1, , 2019-10-16 19:19:47.577000, 25352636
1, , 2019-10-16 19:19:54.641000, 25359707
1, , 2019-10-16 19:20:01.708000, 25366775
1, , 2019-10-16 19:20:08.794000, 25373842
1, , 2019-10-16 19:20:15.860000, 25380935
1, , 2019-10-16 19:20:22.927000, 25388003
1, , 2019-10-16 19:20:29.996000, 25395070
1, , 2019-10-16 19:20:37.065000, 25402140
1, , 2019-10-16 19:20:44.128000, 25409209
1, , 2019-10-16 19:20:51.195000, 25416277
1, , 2019-10-16 19:20:59.139000, 25423346
1, , 2019-10-16 19:21:05.327000, 25430414
1, , 2019-10-16 19:21:12.394000, 25437483
1, , 2019-10-16 19:21:19.458000, 25444551
1, , 2019-10-16 19:21:26.524000, 25451619
1, , 2019-10-16 19:21:33.590000, 25458686
1, , 2019-10-16 19:21:40.659000, 25465755
1, , 2019-10-16 19:21:47.721000, 25472826
1, , 2019-10-16 19:21:54.787000, 25479893
1, , 2019-10-16 19:22:01.852000, 25486960
1, , 2019-10-16 19:22:08.918000, 25494029
1, , 2019-10-16 19:22:15.981000, 25501096
1, , 2019-10-16 19:22:23.681000, 25508164
1, , 2019-10-16 19:22:30.745000, 25515865
1, , 2019-10-16 19:22:38.709000, 25522936
1, , 2019-10-16 19:22:45.773000, 25530903
1, , 2019-10-16 19:22:53.642000, 25537971
1, , 2019-10-16 19:22:59.904000, 25545040
1, , 2019-10-16 19:23:06.969000, 25552109
1, , 2019-10-16 19:23:14.038000, 25559178
1, , 2019-10-16 19:23:21.112000, 25566246
1, , 2019-10-16 19:23:28.178000, 25573323
1, , 2019-10-16 19:23:35.245000, 25580392
1, , 2019-10-16 19:23:43.144000, 25587463
1, , 2019-10-16 19:23:49.373000, 25594530
1, , 2019-10-16 19:23:56.445000, 25601597
1, , 2019-10-16 19:24:03.508000, 25608671
1, , 2019-10-16 19:24:11.170000, 25615739
1, , 2019-10-16 19:24:18.233000, 25623401
1, , 2019-10-16 19:24:25.305000, 25630468
1, , 2019-10-16 19:24:32.368000, 25637543
1, , 2019-10-16 19:24:39.440000, 25644612
1, , 2019-10-16 19:24:46.504000, 25651686
1, , 2019-10-16 19:24:53.571000, 25658753
1, , 2019-10-16 19:25:00.635000, 25665822
1, , 2019-10-16 19:25:08.651000, 25672889
1, , 2019-10-16 19:25:14.772000, 25679959
1, , 2019-10-16 19:25:21.844000, 25687031
1, , 2019-10-16 19:25:28.910000, 25694105
1, , 2019-10-16 19:25:36.674000, 25701175
1, , 2019-10-16 19:25:44.650000, 25708936
1, , 2019-10-16 19:25:50.799000, 25716004
1, , 2019-10-16 19:25:57.862000, 25723071
1, , 2019-10-16 19:26:05.653000, 25730138
1, , 2019-10-16 19:26:11.992000, 25737206
1, , 2019-10-16 19:26:19.056000, 25744274
1, , 2019-10-16 19:26:26.124000, 25751343
1, , 2019-10-16 19:26:33.190000, 25758410
1, , 2019-10-16 19:26:40.251000, 25765479
1, , 2019-10-16 19:26:47.352000, 25772546
1, , 2019-10-16 19:26:54.419000, 25779647
1, , 2019-10-16 19:27:01.482000, 25786714
1, , 2019-10-16 19:27:08.547000, 25793781
1, , 2019-10-16 19:27:15.617000, 25800848
1, , 2019-10-16 19:27:22.680000, 25807920
1, , 2019-10-16 19:27:29.746000, 25814987
1, , 2019-10-16 19:27:36.812000, 25822055
1, , 2019-10-16 19:27:43.880000, 25829125
1, , 2019-10-16 19:27:50.961000, 25836196
